LEVELCD_NAME,STATE,COUNTY,COMMUNITY,YEAR,TIME_TYPE,CEN_MEDRENT,CEN_MEDOWNVAL,CEN_HUYEARBLT,RENT_COSTS30,MEDAGE_WF,PER_COMMNOTSNGLCAR,PER_COMMALONECAR,PER_COMMBIKE,PER_COMMCARPOOL,PER_COMMOTHER,PER_COMMPUBTRANS,PER_COMMWALK,PER_COMMWORKHOME,AVG_COMMUTETIME,WORK_OUTCOMM,WORK_INCOMM
Municipality,MA,Franklin,Ashfield,2013,5-Year-Estimates,888,287500,1948,0.4,48.8,0.2,0.8,0,0,0,0,0,0.1,32.1,0.7,0.3
Municipality,MA,Franklin,Bernardston,2013,5-Year-Estimates,1170,227100,1963,0.5,48.2,0.1,0.9,0,0,0,0,0,0.1,19.9,0.8,0.2
Municipality,MA,Franklin,Buckland,2013,5-Year-Estimates,854,214600,1945,0.5,44.9,0.2,0.8,0,0.1,0,0,0,0,29.9,0.8,0.2
Municipality,MA,Franklin,Charlemont,2013,5-Year-Estimates,729,221600,1954,0.5,45.2,0.3,0.7,0,0.2,0,0,0.1,0.1,28.2,0.7,0.3
Municipality,MA,Franklin,Colrain,2013,5-Year-Estimates,961,188900,1963,0.6,45.9,0.2,0.8,0,0.1,0,0,0,0,30.1,0.9,0.1
Municipality,MA,Franklin,Conway,2013,5-Year-Estimates,1060,288100,1972,0.3,48.9,0.2,0.8,0,0.1,0,0,0,0.1,25.6,0.8,0.2
Municipality,MA,Franklin,Deerfield,2013,5-Year-Estimates,921,284700,1966,0.5,46.1,0.3,0.7,0,0.1,0,0,0.1,0.1,19.3,0.6,0.4
Municipality,MA,Franklin,Erving,2013,5-Year-Estimates,866,195800,1956,0.5,42,0.1,0.9,0,0.1,0,0,0,0,24.3,0.9,0.1
Municipality,MA,Franklin,Gill,2013,5-Year-Estimates,1018,213800,1970,0.5,47.4,0.3,0.7,0,0.1,0,0,0.1,0.1,20.9,0.8,0.2
Municipality,MA,Franklin,Greenfield,2013,5-Year-Estimates,789,185200,1943,0.4,42.6,0.2,0.8,0,0.1,0,0,0.1,0,22.9,0.5,0.5
Municipality,MA,Franklin,Hawley,2013,5-Year-Estimates,850,231500,1970,0.5,48.9,0.3,0.7,0,0.1,0,0,0.1,0.1,38,0.8,0.2
Municipality,MA,Franklin,Heath,2013,5-Year-Estimates,828,224300,1980,0.6,50.7,0.2,0.8,0,0.1,0,0,0,0,38.7,0.8,0.2
Municipality,MA,Franklin,Leverett,2013,5-Year-Estimates,992,341700,1973,0.5,48.5,0.2,0.8,0,0.1,0,0,0,0.1,26.3,0.8,0.2
Municipality,MA,Franklin,Leyden,2013,5-Year-Estimates,763,249000,1974,0.2,51.3,0.1,0.9,0,0,0,0,0,0.1,27.6,0.9,0.1
Municipality,MA,Franklin,Monroe,2013,5-Year-Estimates,833,145000,1949,0,35.8,0.1,0.9,0,0,0,0,0.1,0,36.3,0.9,0.1
Municipality,MA,Franklin,Montague,2013,5-Year-Estimates,810,204100,1950,0.5,43,0.2,0.8,0,0.1,0,0,0,0,20.7,0.8,0.2
Municipality,MA,Franklin,New Salem,2013,5-Year-Estimates,1711,235100,1972,0.7,47.3,0.2,0.8,0,0.1,0,0,0,0,35.8,0.9,0.1
Municipality,MA,Franklin,Northfield,2013,5-Year-Estimates,760,241400,1955,0.3,45.4,0.2,0.8,0,0.1,0,0,0,0.1,25.2,0.8,0.2
Municipality,MA,Franklin,Orange,2013,5-Year-Estimates,697,162400,1957,0.5,41.8,0.2,0.8,0,0.1,0,0,0,0.1,27.4,0.6,0.4
Municipality,MA,Franklin,Rowe,2013,5-Year-Estimates,1038,203100,1958,0.5,46.4,0.2,0.8,0,0,0,0,0.1,0,27.7,0.7,0.3
Municipality,MA,Franklin,Shelburne,2013,5-Year-Estimates,874,259000,1939,0.4,48.1,0.3,0.7,0,0.1,0,0,0,0.1,24.8,0.7,0.3
Municipality,MA,Franklin,Shutesbury,2013,5-Year-Estimates,1125,266000,1978,0.6,50.2,0.2,0.8,0,0.1,0,0,0,0.1,27.9,0.9,0.1
Municipality,MA,Franklin,Sunderland,2013,5-Year-Estimates,1097,288500,1973,0.7,26.9,0.4,0.6,0,0.1,0,0.2,0,0,22.1,0.9,0.1
Municipality,MA,Franklin,Warwick,2013,5-Year-Estimates,1073,189100,1959,0.7,53,0.1,0.9,0,0,0,0,0,0.1,31.6,0.9,0.1
Municipality,MA,Franklin,Wendell,2013,5-Year-Estimates,854,197900,1974,0.8,48,0.3,0.7,0,0,0,0,0,0.2,33.2,0.7,0.3
Municipality,MA,Franklin,Whately,2013,5-Year-Estimates,1168,291100,1971,0.4,50.2,0.2,0.8,0,0.1,0,0,0,0.1,23.1,0.8,0.2
Municipality,MA,Hampden,Agawam,2013,5-Year-Estimates,852,229200,1970,0.5,44.1,0.1,0.9,0,0.1,0,0,0,0,21.6,0.8,0.2
Municipality,MA,Hampden,Blandford,2013,5-Year-Estimates,540,246300,1962,0,48,0.1,0.9,0,0.1,0,0,0,0,32,0.9,0.1
Municipality,MA,Hampden,Brimfield,2013,5-Year-Estimates,748,264800,1975,0.6,45.6,0.2,0.8,0,0,0,0,0,0.1,36.1,0.8,0.2
Municipality,MA,Hampden,Chester,2013,5-Year-Estimates,833,199600,1949,0.7,47,0.2,0.8,0,0.1,0,0,0,0,36.4,0.9,0.1
Municipality,MA,Hampden,Chicopee,2013,5-Year-Estimates,794,177600,1955,0.5,40.7,0.1,0.9,0,0.1,0,0,0,0,20.6,0.7,0.3
Municipality,MA,Hampden,East Longmeadow,2013,5-Year-Estimates,1017,256300,1964,0.6,46.4,0.1,0.9,0,0.1,0,0,0,0,22.9,0.8,0.2
Municipality,MA,Hampden,Granville,2013,5-Year-Estimates,791,274500,1966,0.3,46.8,0.2,0.8,0,0.1,0,0,0,0.1,31.7,0.8,0.2
Municipality,MA,Hampden,Hampden,2013,5-Year-Estimates,592,268600,1966,0.5,47,0.1,0.9,0,0.1,0,0,0,0,25.4,0.8,0.2
Municipality,MA,Hampden,Holland,2013,5-Year-Estimates,883,208900,1967,0.4,43.5,0.2,0.8,0,0.1,0,0,0,0,32.5,0.9,0.1
